Listing all pages crawled in BFS order for query: nyu-poly, for n: 500
URL: http://www.poly.edu/life/student-resources, time: 2013-02-17T20:53:42.866692, size: 16102 bytes, return code: 200, depth: 1
URL: http://www.poly.edu/about/contacts, time: 2013-02-17T20:53:43.057203, size: 16697 bytes, return code: 200, depth: 1
URL: http://www.poly.edu/news/2013/02/06/professor-shivendra-s-panwar-speaks-fcc-post-sandy-field-hearing, time: 2013-02-17T20:53:43.889021, size: 23987 bytes, return code: 200, depth: 1
URL: http://www.poly.edu/events/2013/02/20/resumes-and-cover-letters-work-nyu-poly, time: 2013-02-17T20:53:44.120323, size: 18750 bytes, return code: 200, depth: 1
URL: http://www.poly.edu/ct/, time: 2013-02-17T20:53:44.564150, size: 12140 bytes, return code: 200, depth: 1
URL: http://www.youtube.com/nyupolytechnic, time: 2013-02-17T20:53:45.826515, size: 67757 bytes, return code: 200, depth: 1
URL: http://www.poly.edu/events/calendar, time: 2013-02-17T20:53:46.264889, size: 138643 bytes, return code: 200, depth: 1
URL: http://www.springfestny.com, time: 2013-02-17T20:53:46.264945, size: 42723 bytes, return code: 200, depth: 1
URL: http://webteam.poly.edu/support, time: 2013-02-17T20:53:48.516607, size: 2942 bytes, return code: 200, depth: 1
URL: http://www.poly.edu/user, time: 2013-02-17T20:53:48.773073, size: 15878 bytes, return code: 200, depth: 1
URL: http://www.poly.edu/students, time: 2013-02-17T20:53:52.571625, size: 18070 bytes, return code: 200, depth: 1
URL: https://secure.palmcoastd.com/pcd/document?ikey=020DA9H50, time: 2013-02-17T20:53:52.927231, size: 594 bytes, return code: 200, depth: 1
URL: http://www.advertiseonabout.com/, time: 2013-02-17T20:53:52.927291, size: 26967 bytes, return code: 200, depth: 1
URL: https://business.twitter.com/en/advertise/start, time: 2013-02-17T20:53:54.715537, size: 23310 bytes, return code: 200, depth: 1
URL: http://nyu.edu, time: 2013-02-17T20:53:55.104519, size: 29196 bytes, return code: 200, depth: 1
URL: http://www.poly.edu/directory, time: 2013-02-17T20:53:57.064645, size: 1988 bytes, return code: 200, depth: 1
URL: http://www.poly.edu/business/career, time: 2013-02-17T20:53:57.064718, size: 24188 bytes, return code: 200, depth: 1
URL: http://gonyupoly.com/sports/2011/8/9/GEN_0809114221.aspx?&tab=2, time: 2013-02-17T20:53:57.381424, size: 19197 bytes, return code: 200, depth: 1
URL: http://gonyupoly.com/sports/2011/9/19/GEN_0919112014.aspx?&tab=2, time: 2013-02-17T20:53:57.659673, size: 16931 bytes, return code: 200, depth: 1
URL: http://gonyupoly.com/news/2013/2/14/GEN_0214134913.aspx?path=general, time: 2013-02-17T20:53:58.025122, size: 19590 bytes, return code: 200, depth: 1
URL: http://gonyupoly.com/news/2013/2/10/MBB_0210131457.aspx, time: 2013-02-17T20:53:58.531409, size: 19879 bytes, return code: 200, depth: 1
URL: http://gonyupoly.com/news/2013/2/4/MBB_0204131923.aspx, time: 2013-02-17T20:53:58.932324, size: 20072 bytes, return code: 200, depth: 1
URL: http://gonyupoly.com/news/2013/1/29/MBB_0129135345.aspx, time: 2013-02-17T20:53:59.459773, size: 21909 bytes, return code: 200, depth: 1
URL: http://www.poly.edu/about/press, time: 2013-02-17T20:53:59.686753, size: 28241 bytes, return code: 200, depth: 1
URL: http://www.usnews.com/news, time: 2013-02-17T20:54:00.027187, size: 43576 bytes, return code: 200, depth: 1
URL: http://www.usnews.com/science, time: 2013-02-17T20:54:02.690508, size: 43082 bytes, return code: 200, depth: 1
URL: http://colleges.usnews.rankingsandreviews.com/best-colleges/rankings/national-universities/best-value, time: 2013-02-17T20:54:03.820285, size: 76010 bytes, return code: 200, depth: 2
URL: http://www.usnews.com/education/articles/2012/09/12/top-schools-harvard-princeton-williams-continue-reign-in-us-news-best-colleges-rankings, time: 2013-02-17T20:54:04.015383, size: 50710 bytes, return code: 200, depth: 2
URL: http://colleges.usnews.rankingsandreviews.com/best-colleges/yale-university-1426, time: 2013-02-17T20:54:04.806458, size: 56247 bytes, return code: 200, depth: 2
URL: http://colleges.usnews.rankingsandreviews.com/best-colleges/masters-universities, time: 2013-02-17T20:54:05.582929, size: 46287 bytes, return code: 200, depth: 2
URL: http://colleges.usnews.rankingsandreviews.com/best-colleges/rankings/national-universities/top-public, time: 2013-02-17T20:54:06.097011, size: 64836 bytes, return code: 200, depth: 2
URL: http://www.usnews.com/education/blogs/MBA-admissions-strictly-business/2013/02/15/3-ways-for-mba-applicants-to-overcome-weaknesses, time: 2013-02-17T20:54:08.927384, size: 59453 bytes, return code: 200, depth: 2
URL: http://www.usnews.com/education/the-short-list-college/articles/2013/02/12/10-most-expensive-private-colleges-and-universities, time: 2013-02-17T20:54:09.407701, size: 49857 bytes, return code: 200, depth: 2
URL: http://bestlawyers.com, time: 2013-02-17T20:54:09.849319, size: 114664 bytes, return code: 200, depth: 2
URL: http://www.usnewsuniversitydirectory.com, time: 2013-02-17T20:54:10.535605, size: 84484 bytes, return code: 200, depth: 2
URL: http://www.usnewsuniversitydirectory.com/doctorate.aspx, time: 2013-02-17T20:54:12.053805, size: 91708 bytes, return code: 200, depth: 2
URL: http://www.sidearmsports.com/our-clients/, time: 2013-02-17T20:54:12.118158, size: 7811 bytes, return code: 200, depth: 2
URL: http://www.usnewsuniversitydirectory.com/certificates.aspx, time: 2013-02-17T20:54:12.462526, size: 104909 bytes, return code: 200, depth: 2
URL: http://www.sidearmsports.com/athletic-websites/, time: 2013-02-17T20:54:12.906060, size: 16648 bytes, return code: 200, depth: 2
URL: http://www.sidearmsports.com/athletic-websites/live-video-streaming/, time: 2013-02-17T20:54:14.748755, size: 10472 bytes, return code: 200, depth: 2
URL: http://www.sidearmsports.com/the-company/, time: 2013-02-17T20:54:15.734580, size: 46423 bytes, return code: 200, depth: 2
URL: http://www.sidearmsports.com/the-company/company-profile/, time: 2013-02-17T20:54:17.823354, size: 10139 bytes, return code: 200, depth: 2
URL: http://blog.sidearmsports.com, time: 2013-02-17T20:54:18.276338, size: 16105 bytes, return code: 200, depth: 2
URL: http://www.sidearmsports.com/contact-us/privacy-policy/, time: 2013-02-17T20:54:18.698735, size: 20229 bytes, return code: 200, depth: 2
URL: http://money.usnews.com/, time: 2013-02-17T20:54:18.894711, size: 70957 bytes, return code: 200, depth: 2
URL: http://sidearmsports.com/athletic-websites/live-stats/, time: 2013-02-17T20:54:19.415077, size: 10499 bytes, return code: 200, depth: 2
URL: http://www.usnews.com/rankings, time: 2013-02-17T20:54:22.047636, size: 54346 bytes, return code: 200, depth: 2
URL: http://www.twitter.com/sidearmsports, time: 2013-02-17T20:54:23.033337, size: 204289 bytes, return code: 200, depth: 2
URL: http://bestlawfirms.usnews.com/Search.aspx, time: 2013-02-17T20:54:23.149587, size: 42382 bytes, return code: 200, depth: 2
URL: http://bestlawfirms.usnews.com/Subscribe/Default.aspx, time: 2013-02-17T20:54:23.172423, size: 34905 bytes, return code: 200, depth: 2
URL: http://bestlawfirms.usnews.com/practiceareasearch.aspx, time: 2013-02-17T20:54:24.546875, size: 53319 bytes, return code: 200, depth: 2
URL: http://articles.bestlawfirms.usnews.com/law/blogs/law-firm-insider, time: 2013-02-17T20:54:25.155351, size: 41906 bytes, return code: 200, depth: 2
