Listing all pages crawled in BFS order for query: nyu-poly, for n: 500
URL: http://www.youtube.com/nyupolytechnic, time: 2013-02-17T21:03:36.923833, size: 67790 bytes, return code: 200, depth: 1
URL: http://webteam.poly.edu/support, time: 2013-02-17T21:03:37.157064, size: 2942 bytes, return code: 200, depth: 1
URL: https://twitter.com/download, time: 2013-02-17T21:03:37.565006, size: 70661 bytes, return code: 200, depth: 1
URL: http://nyu.edu, time: 2013-02-17T21:03:37.851273, size: 29196 bytes, return code: 200, depth: 1
URL: http://www.poly.edu/events/calendar, time: 2013-02-17T21:03:38.662732, size: 138560 bytes, return code: 200, depth: 1
URL: https://business.twitter.com/en/advertise/start, time: 2013-02-17T21:03:39.949477, size: 23310 bytes, return code: 200, depth: 1
URL: http://www.springfestny.com, time: 2013-02-17T21:03:42.248729, size: 42723 bytes, return code: 200, depth: 1
URL: http://www.poly.edu/events/calendar?tid=951, time: 2013-02-17T21:03:44.207255, size: 31000 bytes, return code: 200, depth: 1
URL: http://media.twitter.com, time: 2013-02-17T21:03:45.935631, size: 19118 bytes, return code: 200, depth: 1
URL: http://www.poly.edu/business/incubators, time: 2013-02-17T21:03:46.651173, size: 17310 bytes, return code: 200, depth: 1
URL: http://vimeo.com/join, time: 2013-02-17T21:03:48.476560, size: 15754 bytes, return code: 200, depth: 1
URL: http://vimeo.com/movies, time: 2013-02-17T21:03:49.984695, size: 29637 bytes, return code: 200, depth: 1
URL: http://vimeo.com/58630763, time: 2013-02-17T21:03:50.377146, size: 37179 bytes, return code: 200, depth: 1
URL: http://vimeo.com/nyupoly/following, time: 2013-02-17T21:03:50.666839, size: 25548 bytes, return code: 200, depth: 1
URL: http://collegeapps.about.com/od/admissionstimeline/u/College-Preparation.htm, time: 2013-02-17T21:03:51.102403, size: 22828 bytes, return code: 200, depth: 1
URL: http://www.about.com/, time: 2013-02-17T21:03:51.151865, size: 82599 bytes, return code: 200, depth: 1
URL: http://vimeo.com/nyupoly/channels, time: 2013-02-17T21:03:51.255933, size: 29789 bytes, return code: 200, depth: 1
URL: http://www.poly.edu/about/press, time: 2013-02-17T21:03:51.616810, size: 28158 bytes, return code: 200, depth: 1
URL: http://vimeo.com/about, time: 2013-02-17T21:03:51.995813, size: 73831 bytes, return code: 200, depth: 1
URL: http://collegeapps.about.com/od/sat/a/sat-score-explanation.htm, time: 2013-02-17T21:03:52.071786, size: 23039 bytes, return code: 200, depth: 1
URL: http://vimeo.com/new, time: 2013-02-17T21:03:52.250314, size: 34660 bytes, return code: 200, depth: 1
URL: http://vimeo.com/dmca, time: 2013-02-17T21:03:52.386695, size: 27908 bytes, return code: 200, depth: 1
URL: http://gonyupoly.com/sports/2011/8/9/GEN_0809111708.aspx?&tab=2, time: 2013-02-17T21:03:52.944723, size: 22418 bytes, return code: 200, depth: 1
URL: http://gonyupoly.com/sports/2011/8/9/GEN_0809114221.aspx?&tab=2, time: 2013-02-17T21:03:52.968113, size: 19197 bytes, return code: 200, depth: 1
URL: http://gonyupoly.com/news/2013/2/17/MVB_0217130412.aspx?path=mvball, time: 2013-02-17T21:03:53.374659, size: 20048 bytes, return code: 200, depth: 1
URL: http://gonyupoly.com/news/2013/2/13/WBB_0213133624.aspx, time: 2013-02-17T21:03:53.758947, size: 19596 bytes, return code: 200, depth: 1
URL: http://gonyupoly.com/news/2013/2/5/WBB_0205133047.aspx, time: 2013-02-17T21:03:54.074644, size: 17911 bytes, return code: 200, depth: 1
URL: http://gonyupoly.com/news/2013/1/30/MBB_0130135621.aspx, time: 2013-02-17T21:03:54.619442, size: 18535 bytes, return code: 200, depth: 1
URL: http://www.usnews.com/health-news, time: 2013-02-17T21:03:55.366000, size: 48509 bytes, return code: 200, depth: 1
URL: http://collegeapps.about.com/od/choosingacollege/ss/Choosing-The-Perfect-College.htm, time: 2013-02-17T21:03:55.565076, size: 27274 bytes, return code: 200, depth: 1
URL: http://gonyupoly.com/news/2013/1/29/MVB_0129135325.aspx, time: 2013-02-17T21:03:55.802168, size: 19127 bytes, return code: 200, depth: 1
URL: http://collegeapps.about.com/od/sat/a/sat_side_x_side.htm, time: 2013-02-17T21:03:55.993718, size: 25742 bytes, return code: 200, depth: 1
URL: http://gonyupoly.com/sb_output.aspx?form=3, time: 2013-02-17T21:03:56.324183, size: 34994 bytes, return code: 200, depth: 1
URL: http://gonyupoly.com/hof.aspx, time: 2013-02-17T21:03:56.669305, size: 52195 bytes, return code: 200, depth: 1
URL: http://collegeapps.about.com/b/, time: 2013-02-17T21:03:56.764796, size: 47726 bytes, return code: 200, depth: 1
URL: http://www.usnews.com/education/articles/2012/09/12/top-schools-harvard-princeton-williams-continue-reign-in-us-news-best-colleges-rankings, time: 2013-02-17T21:03:57.217996, size: 50710 bytes, return code: 200, depth: 2
URL: http://collegeapps.about.com/od/choosingacollege/Choosing_a_College.htm, time: 2013-02-17T21:03:57.498650, size: 28092 bytes, return code: 200, depth: 1
URL: http://www.usnews.com/education/online-education, time: 2013-02-17T21:03:57.727034, size: 51442 bytes, return code: 200, depth: 1
URL: http://collegeapps.about.com/od/transferring/Transferring_to_a_Different_College.htm, time: 2013-02-17T21:03:57.728076, size: 20141 bytes, return code: 200, depth: 1
URL: http://collegeapps.about.com/od/international/international-students.htm, time: 2013-02-17T21:03:57.933931, size: 17883 bytes, return code: 200, depth: 1
URL: http://www.farmingdalesports.com, time: 2013-02-17T21:04:00.884136, size: 188167 bytes, return code: 200, depth: 2
URL: https://twitter.com/nyupoly?lang=id, time: 2013-02-17T21:04:01.599586, size: 215772 bytes, return code: 200, depth: 1
URL: https://twitter.com/nyupoly?lang=es, time: 2013-02-17T21:04:04.366055, size: 216184 bytes, return code: 200, depth: 1
URL: https://twitter.com/nyupoly?lang=pl, time: 2013-02-17T21:04:04.923915, size: 216504 bytes, return code: 200, depth: 1
URL: https://twitter.com/nyupoly?lang=ar, time: 2013-02-17T21:04:09.203946, size: 222147 bytes, return code: 200, depth: 1
URL: https://twitter.com/nyupoly?lang=he, time: 2013-02-17T21:04:09.424120, size: 219754 bytes, return code: 200, depth: 1
URL: https://twitter.com/nyupoly?lang=cs, time: 2013-02-17T21:04:09.571340, size: 216014 bytes, return code: 200, depth: 1
URL: http://colleges.usnews.rankingsandreviews.com/education/online-education/polytechnic-institute-of-new-york-university-194541, time: 2013-02-17T21:04:09.802055, size: 28370 bytes, return code: 200, depth: 1
URL: https://twitter.com/nyupoly?lang=zh-cn, time: 2013-02-17T21:04:11.161678, size: 215555 bytes, return code: 200, depth: 1
URL: https://twitter.com/account/complete, time: 2013-02-17T21:04:11.342591, size: 67675 bytes, return code: 200, depth: 1
