Listing all pages crawled in BFS order for query: love, for n: 500
URL: http://get.adobe.com/reader/?promoid=JZEFU, time: 2013-02-15T11:08:21.000677, size: 67203 bytes, return code: 200, depth: 2
URL: http://get.adobe.com/air/?promoid=JZEFV, time: 2013-02-15T11:08:21.421608, size: 61925 bytes, return code: 200, depth: 2
URL: http://www.adobe.com/downloads/?promoid=JZEFW, time: 2013-02-15T11:08:22.037534, size: 107668 bytes, return code: 200, depth: 2
URL: http://www.adobe.com/aboutadobe/?promoid=KAWQM, time: 2013-02-15T11:08:22.641460, size: 71099 bytes, return code: 200, depth: 2
URL: http://www.adobe.com/aboutadobe/invrelations/?promoid=JZEFZ, time: 2013-02-15T11:08:23.558569, size: 105526 bytes, return code: 200, depth: 2
URL: http://www.adobe.com/aboutadobe/pressroom/?promoid=JZEGA, time: 2013-02-15T11:08:24.562145, size: 80272 bytes, return code: 200, depth: 2
URL: http://www.adobe.com/aboutadobe/?promoid=JZPLK, time: 2013-02-15T11:08:25.045388, size: 71099 bytes, return code: 200, depth: 2
URL: http://www.adobe.com/go/gnav_search, time: 2013-02-15T11:08:25.722136, size: 86856 bytes, return code: 200, depth: 2
URL: http://www.adobe.com/account/sign-in.adobedotcom.html, time: 2013-02-15T11:08:26.589003, size: 71910 bytes, return code: 200, depth: 2
URL: http://www.adobe.com/account.html, time: 2013-02-15T11:08:28.021266, size: 103917 bytes, return code: 200, depth: 2
URL: http://www.adobe.com/go/gnavtray_myadobe_en_us, time: 2013-02-15T11:08:29.024984, size: 103917 bytes, return code: 200, depth: 2
URL: http://www.adobe.com/go/gnavtray_myadobe_myorders_en_us, time: 2013-02-15T11:08:29.754477, size: 99510 bytes, return code: 200, depth: 2
URL: http://www.adobe.com/go/gnavtray_myadobe_myinformation_en_us, time: 2013-02-15T11:08:30.616221, size: 125486 bytes, return code: 200, depth: 2
URL: http://www.adobe.com/go/gnavtray_myadobe_mypreferences_en_us, time: 2013-02-15T11:08:31.350176, size: 645 bytes, return code: 200, depth: 2
URL: http://www.adobe.com/go/gnavtray_myadobe_myproducts_services_en_us, time: 2013-02-15T11:08:33.257763, size: 71910 bytes, return code: 200, depth: 2
URL: http://www.apple.com/, time: 2013-02-15T11:08:33.327595, size: 11486 bytes, return code: 200, depth: 2
URL: http://store.apple.com/, time: 2013-02-15T11:08:35.226783, size: 103126 bytes, return code: 200, depth: 2
