Listing all pages crawled in BFS order for query: suel, for n: 500
URL: http://www.bloomberg.com/news/law/, time: 2013-02-17T20:24:30.278673, size: 107010 bytes, return code: 200, depth: 1
URL: http://topics.bloomberg.com/bloomberg-pursuits/, time: 2013-02-17T20:24:31.512243, size: 96811 bytes, return code: 200, depth: 1
URL: http://www.bloomberg.com/news/regions/, time: 2013-02-17T20:24:32.162055, size: 127516 bytes, return code: 200, depth: 1
URL: http://boards1.wizards.com/forumdisplay.php?s=&forumid=24, time: 2013-02-17T20:24:32.668655, size: 20113 bytes, return code: 200, depth: 1
URL: http://www.bloomberg.com/news/bonds/, time: 2013-02-17T20:24:34.675283, size: 100463 bytes, return code: 200, depth: 1
URL: http://topics.bloomberg.com/islamic-finance/, time: 2013-02-17T20:24:35.811429, size: 82797 bytes, return code: 200, depth: 1
URL: http://www.bloomberg.com/news/industries/, time: 2013-02-17T20:24:35.856706, size: 129656 bytes, return code: 200, depth: 1
URL: http://www.bloomberg.com/view/commentary/, time: 2013-02-17T20:24:37.272964, size: 98639 bytes, return code: 200, depth: 1
URL: http://www.bloomberg.com/markets/stocks/movers/dow/, time: 2013-02-17T20:24:38.766923, size: 111554 bytes, return code: 200, depth: 1
URL: http://www.bloomberg.com/video/forex-trading/, time: 2013-02-17T20:24:40.018208, size: 113381 bytes, return code: 200, depth: 1
URL: http://www.bloomberg.com/personal-finance/saving-and-investing/, time: 2013-02-17T20:24:42.320327, size: 123576 bytes, return code: 200, depth: 1
URL: http://www.bloomberg.com/personal-finance/consumer-spending/, time: 2013-02-17T20:24:43.730805, size: 119117 bytes, return code: 200, depth: 1
URL: http://go.bloomberg.com/tech-deals/, time: 2013-02-17T20:24:44.707047, size: 62240 bytes, return code: 200, depth: 1
URL: http://go.bloomberg.com/political-economy/, time: 2013-02-17T20:24:47.450866, size: 68471 bytes, return code: 200, depth: 1
URL: http://www.bloombergmedia.com/, time: 2013-02-17T20:24:47.919387, size: 7225 bytes, return code: 200, depth: 1
URL: http://media.twitter.com, time: 2013-02-17T20:24:50.281416, size: 19118 bytes, return code: 200, depth: 1
URL: http://www.poly.edu/life/student-resources/registrar, time: 2013-02-17T20:24:51.011826, size: 18038 bytes, return code: 200, depth: 2
URL: http://cis.poly.edu/suel/papers/papers.htm, time: 2013-02-17T20:24:51.645086, size: 32004 bytes, return code: 200, depth: 1
URL: http://www.poly.edu/accepted, time: 2013-02-17T20:24:51.845113, size: 19122 bytes, return code: 200, depth: 2
