Listing all pages crawled in BFS order for query: python, for n: 500
URL: http://docs.python.org/tutorial/datastructures.html, time: 2013-02-15T11:10:26.444878, size: 85024 bytes, return code: 200, depth: 1
URL: http://docs.python.org/tutorial/modules.html, time: 2013-02-15T11:10:27.510002, size: 57060 bytes, return code: 200, depth: 1
URL: http://docs.python.org/tutorial/inputoutput.html, time: 2013-02-15T11:10:28.484316, size: 50727 bytes, return code: 200, depth: 1
URL: http://docs.python.org/tutorial/errors.html, time: 2013-02-15T11:10:29.473640, size: 46833 bytes, return code: 200, depth: 1
URL: http://docs.python.org/tutorial/classes.html, time: 2013-02-15T11:10:30.761671, size: 79072 bytes, return code: 200, depth: 1
URL: http://docs.python.org/tutorial/stdlib.html, time: 2013-02-15T11:10:31.629447, size: 41622 bytes, return code: 200, depth: 1
URL: http://sphinx.pocoo.org/, time: 2013-02-15T11:10:32.211762, size: 9939 bytes, return code: 200, depth: 1
URL: http://www.codecademy.com/, time: 2013-02-15T11:10:37.512940, size: 28995 bytes, return code: 200, depth: 1
URL: http://www.codecademy.com/learn, time: 2013-02-15T11:10:40.337824, size: 24674 bytes, return code: 200, depth: 1
URL: http://www.codecademy.com/create, time: 2013-02-15T11:10:47.978377, size: 21322 bytes, return code: 200, depth: 1
URL: http://www.codecademy.com/sign_in, time: 2013-02-15T11:10:48.666451, size: 21948 bytes, return code: 200, depth: 1
URL: http://www.codecademy.com/register/sign_up, time: 2013-02-15T11:10:49.329408, size: 23297 bytes, return code: 200, depth: 1
URL: http://www.codecademy.com/courses/introduction-to-python-6WeG3?curriculum_id=4f89dab3d788890003000096, time: 2013-02-15T11:10:49.664909, size: 28570 bytes, return code: 200, depth: 1
URL: http://www.codecademy.com/courses/python-beginner-GB6hM?curriculum_id=4f89dab3d788890003000096, time: 2013-02-15T11:10:58.435769, size: 50841 bytes, return code: 200, depth: 1
URL: http://www.codecademy.com/courses/python-beginner-sRXwR?curriculum_id=4f89dab3d788890003000096, time: 2013-02-15T11:10:59.400846, size: 28194 bytes, return code: 200, depth: 1
URL: http://www.codecademy.com/courses/python-beginner-en-zFPOx?curriculum_id=4f89dab3d788890003000096, time: 2013-02-15T11:11:01.055052, size: 63931 bytes, return code: 200, depth: 1
URL: http://www.codecademy.com/courses/python-beginner-BxUFN?curriculum_id=4f89dab3d788890003000096, time: 2013-02-15T11:11:02.271565, size: 27960 bytes, return code: 200, depth: 1
URL: http://www.codecademy.com/courses/python-beginner-2W5v7?curriculum_id=4f89dab3d788890003000096, time: 2013-02-15T11:11:02.711774, size: 25691 bytes, return code: 200, depth: 1
URL: http://www.codecademy.com/courses/python-beginner-c7VZg?curriculum_id=4f89dab3d788890003000096, time: 2013-02-15T11:11:03.020854, size: 29614 bytes, return code: 200, depth: 1
URL: http://www.codecademy.com/courses/python-beginner-P5YtY?curriculum_id=4f89dab3d788890003000096, time: 2013-02-15T11:11:03.338232, size: 26942 bytes, return code: 200, depth: 1
URL: http://www.codecademy.com/courses/python-beginner-en-pwmb1?curriculum_id=4f89dab3d788890003000096, time: 2013-02-15T11:11:04.288631, size: 26318 bytes, return code: 200, depth: 1
URL: http://www.codecademy.com/courses/python-beginner-en-IZ9Ra?curriculum_id=4f89dab3d788890003000096, time: 2013-02-15T11:11:05.511919, size: 25963 bytes, return code: 200, depth: 1
URL: http://www.codecademy.com/courses/python-beginner-en-qzsCL?curriculum_id=4f89dab3d788890003000096, time: 2013-02-15T11:11:05.817513, size: 24517 bytes, return code: 200, depth: 1
URL: http://www.codecademy.com/courses/python-beginner-nzzVa?curriculum_id=4f89dab3d788890003000096, time: 2013-02-15T11:11:23.516433, size: 29089 bytes, return code: 200, depth: 1
URL: http://www.codecademy.com/courses/python-beginner-en-4XuFm?curriculum_id=4f89dab3d788890003000096, time: 2013-02-15T11:11:24.143347, size: 27652 bytes, return code: 200, depth: 1
URL: http://www.codecademy.com/courses/python-beginner-en-cxMGf?curriculum_id=4f89dab3d788890003000096, time: 2013-02-15T11:11:24.397248, size: 27602 bytes, return code: 200, depth: 1
URL: http://www.codecademy.com/courses/python-intermediate-en-rCQKw?curriculum_id=4f89dab3d788890003000096, time: 2013-02-15T11:11:24.640914, size: 26282 bytes, return code: 200, depth: 1
URL: http://labs.codecademy.com, time: 2013-02-15T11:11:24.755505, size: 10430 bytes, return code: 200, depth: 1
URL: http://www.twitter.com/codecademy, time: 2013-02-15T11:11:32.211788, size: 202983 bytes, return code: 200, depth: 1
