Listing all pages crawled in BFS order for query: fortran, for n: 500
URL: http://www.vni.com/products/imsl/documentation/index.html, time: 2013-02-15T12:05:57.220775, size: 38426 bytes, return code: 200, depth: 1
URL: http://developer.intel.com/software/products/compilers/, time: 2013-02-15T12:06:00.038904, size: 40160 bytes, return code: 200, depth: 1
URL: http://www.iso.ch, time: 2013-02-15T12:06:01.192147, size: 38016 bytes, return code: 200, depth: 1
URL: http://www.japi.de/, time: 2013-02-15T12:06:01.506933, size: 808 bytes, return code: 200, depth: 1
URL: http://www.joma.org/, time: 2013-02-15T12:06:03.066315, size: 24606 bytes, return code: 200, depth: 1
URL: http://www.lahey.com/, time: 2013-02-15T12:06:03.268295, size: 14453 bytes, return code: 200, depth: 1
URL: http://www.lindo.com/, time: 2013-02-15T12:06:03.582456, size: 15816 bytes, return code: 200, depth: 1
URL: http://www.nikhef.nl/%7Etemplon/fortran.html, time: 2013-02-15T12:06:04.115562, size: 26566 bytes, return code: 200, depth: 1
URL: http://www.absoft.com/, time: 2013-02-15T12:06:04.546061, size: 31362 bytes, return code: 200, depth: 1
URL: http://www.marshallsoft.com/, time: 2013-02-15T12:06:04.716450, size: 12620 bytes, return code: 200, depth: 1
URL: http://www.mathtools.net, time: 2013-02-15T12:06:05.453876, size: 7296 bytes, return code: 200, depth: 1
URL: http://www.dessci.com/webmath/status/, time: 2013-02-15T12:06:06.749542, size: 16815 bytes, return code: 200, depth: 1
URL: http://www.mathforum.com/, time: 2013-02-15T12:06:06.911578, size: 32525 bytes, return code: 200, depth: 1
URL: http://www.mathgoodies.com/, time: 2013-02-15T12:06:08.015793, size: 31766 bytes, return code: 200, depth: 1
URL: http://www-groups.dcs.st-and.ac.uk/%7Ehistory/Curves/Curves.html, time: 2013-02-15T12:06:08.705611, size: 5290 bytes, return code: 200, depth: 1
URL: http://www.peda.com/grafeq/, time: 2013-02-15T12:06:08.906467, size: 15558 bytes, return code: 200, depth: 1
URL: http://xahlee.org/SpecialPlaneCurves_dir/specialPlaneCurves.html, time: 2013-02-15T12:06:09.209312, size: 13991 bytes, return code: 200, depth: 1
URL: http://www.geom.umn.edu/welcome.html, time: 2013-02-15T12:06:09.438339, size: 7420 bytes, return code: 200, depth: 1
URL: http://www.ams.org/mathscinet/, time: 2013-02-15T12:06:09.700885, size: 16662 bytes, return code: 200, depth: 1
URL: http://www.ancad.com/, time: 2013-02-15T12:06:10.200596, size: 160 bytes, return code: 200, depth: 1
URL: http://www.mathworks.com/, time: 2013-02-15T12:06:10.850002, size: 42710 bytes, return code: 200, depth: 1
URL: http://www.datafocus.com/products/tk/ds_tkdev.asp, time: 2013-02-15T12:06:11.213306, size: 13811 bytes, return code: 200, depth: 1
URL: http://www.nag.co.uk/, time: 2013-02-15T12:06:12.301688, size: 34275 bytes, return code: 200, depth: 1
URL: http://web.comlab.ox.ac.uk/oucl/publications/natr/index.html, time: 2013-02-15T12:06:13.411470, size: 16700 bytes, return code: 200, depth: 1
URL: http://www.nag.co.uk/nagware/Examples.asp, time: 2013-02-15T12:06:14.356175, size: 27739 bytes, return code: 200, depth: 1
URL: http://www.nag.co.uk/numeric/numerical_libraries.asp, time: 2013-02-15T12:06:15.300807, size: 36939 bytes, return code: 200, depth: 1
URL: http://www.nasoftware.co.uk/, time: 2013-02-15T12:06:15.601343, size: 3230 bytes, return code: 200, depth: 1
URL: http://www.netlib.org, time: 2013-02-15T12:07:31.564901, size: 3673 bytes, return code: 200, depth: 1
URL: http://math.nist.gov, time: 2013-02-15T12:07:31.694401, size: 9821 bytes, return code: 200, depth: 1
URL: http://dmoz.org/Computers/Programming/Languages/Fortran/, time: 2013-02-15T12:07:33.083579, size: 26430 bytes, return code: 200, depth: 1
URL: http://www.openmp.org/, time: 2013-02-15T12:07:34.326424, size: 34866 bytes, return code: 200, depth: 1
URL: http://www.compunity.org/training/tutorials/index.php, time: 2013-02-15T12:07:35.113352, size: 11210 bytes, return code: 200, depth: 1
URL: http://www.llnl.gov/computing/tutorials/openMP/, time: 2013-02-15T12:07:36.736462, size: 168757 bytes, return code: 200, depth: 1
URL: http://www.ece.northwestern.edu/OTC/, time: 2013-02-15T12:08:05.255907, size: 3161 bytes, return code: 200, depth: 1
URL: http://people.scs.fsu.edu/~burkardt/f_src/minpack/minpack.html, time: 2013-02-15T12:08:05.667460, size: 9078 bytes, return code: 200, depth: 1
URL: http://dmoz.org/Computers/Programming/Languages/Fortran/Source_Code/Optimization/, time: 2013-02-15T12:08:06.950744, size: 21277 bytes, return code: 200, depth: 1
