Listing all pages crawled in BFS order for query: searchengines, for n: 500
URL: http://digitalmarketingdepot.com/whitepaper/display-ad-clickers-are-not-your-customers?utm_source=tdm&utm_medium=textlink&utm_campaign=SELsidebar, time: 2013-02-17T20:43:43.971255, size: 30835 bytes, return code: 200, depth: 1
URL: http://searchengineland.com/seotable/download-periodic-table-of-seo, time: 2013-02-17T20:43:45.070509, size: 42935 bytes, return code: 200, depth: 1
URL: http://marketingland.com/report-google-to-open-stand-alone-retail-stores-in-major-metros-33787, time: 2013-02-17T20:43:45.502945, size: 82655 bytes, return code: 200, depth: 1
URL: http://marketingland.com/facebook-says-employee-computers-were-hacked-no-evidence-that-user-data-was-compromised-33775, time: 2013-02-17T20:43:45.583447, size: 82159 bytes, return code: 200, depth: 1
URL: http://www.shutterstock.com/, time: 2013-02-17T20:43:47.249364, size: 47807 bytes, return code: 200, depth: 1
URL: http://search.aol.com, time: 2013-02-17T20:43:48.297591, size: 20864 bytes, return code: 200, depth: 1
URL: http://www.dogpile.com/?qc=local, time: 2013-02-17T20:43:48.513589, size: 21416 bytes, return code: 200, depth: 1
URL: https://www.ixquick.com/eng/video.html, time: 2013-02-17T20:43:48.724397, size: 15887 bytes, return code: 200, depth: 1
URL: http://donate.wikimedia.org/wiki/Special:FundraiserRedirector?utm_source=donate&utm_medium=sidebar&utm_campaign=C13_en.wikipedia.org&uselang=en, time: 2013-02-17T20:43:49.189060, size: 44716 bytes, return code: 200, depth: 1
URL: http://www.dogpile.com/?qc=wp, time: 2013-02-17T20:43:49.413055, size: 21814 bytes, return code: 200, depth: 1
URL: https://www.ixquick.com/eng/phone.html, time: 2013-02-17T20:43:49.696734, size: 33411 bytes, return code: 200, depth: 1
URL: https://www.ixquick.com/eng/advanced-search.html, time: 2013-02-17T20:43:50.108449, size: 41555 bytes, return code: 200, depth: 1
URL: http://g.msn.com/1ewbingwin8/settingsTOUen-US, time: 2013-02-17T20:43:50.570690, size: 113734 bytes, return code: 200, depth: 1
URL: http://www.dogpile.com/search/preferences, time: 2013-02-17T20:43:50.791526, size: 24035 bytes, return code: 200, depth: 1
URL: http://www.dogpile.com/dogpile_rss/web/gosselin+wife+swap, time: 2013-02-17T20:43:51.861477, size: 45454 bytes, return code: 200, depth: 1
