Listing all pages crawled in BFS order for query: ruby, for n: 500
URL: http://blade.nagaokaut.ac.jp/cgi-bin/scat.rb/ruby/ruby-core/48984, time: 2013-02-15T11:34:04.181049, size: 5467 bytes, return code: 200, depth: 2
URL: http://blade.nagaokaut.ac.jp/cgi-bin/scat.rb/ruby/ruby-core/49119, time: 2013-02-15T11:34:05.125130, size: 6112 bytes, return code: 200, depth: 2
URL: http://bugs.ruby-lang.org/projects/ruby/wiki/200UpgradeNotesDraft, time: 2013-02-15T11:34:06.011086, size: 18717 bytes, return code: 200, depth: 2
URL: https://bugs.ruby-lang.org/login, time: 2013-02-15T11:34:06.906253, size: 4275 bytes, return code: 200, depth: 2
URL: https://bugs.ruby-lang.org/account/register, time: 2013-02-15T11:34:07.847094, size: 6701 bytes, return code: 200, depth: 2
URL: https://bugs.ruby-lang.org/, time: 2013-02-15T11:34:08.973544, size: 8740 bytes, return code: 200, depth: 2
URL: https://bugs.ruby-lang.org/projects, time: 2013-02-15T11:34:10.152211, size: 7465 bytes, return code: 200, depth: 2
URL: http://www.redmine.org/guide, time: 2013-02-15T11:34:10.762056, size: 13434 bytes, return code: 200, depth: 2
URL: https://bugs.ruby-lang.org/search/index/ruby-193, time: 2013-02-15T11:34:11.714401, size: 4781 bytes, return code: 200, depth: 2
URL: https://bugs.ruby-lang.org/projects/ruby?jump=issues, time: 2013-02-15T11:34:13.362393, size: 8172 bytes, return code: 200, depth: 2
URL: https://bugs.ruby-lang.org/projects/ruby-193, time: 2013-02-15T11:34:14.404172, size: 7270 bytes, return code: 200, depth: 2
URL: https://bugs.ruby-lang.org/projects/ruby-193/activity, time: 2013-02-15T11:34:16.456636, size: 40066 bytes, return code: 200, depth: 2
URL: https://bugs.ruby-lang.org/projects/ruby-193/issues, time: 2013-02-15T11:34:18.077867, size: 46280 bytes, return code: 200, depth: 2
URL: https://bugs.ruby-lang.org/projects/ruby-193/repository, time: 2013-02-15T11:34:22.247463, size: 105357 bytes, return code: 200, depth: 2
URL: https://bugs.ruby-lang.org/projects/ruby-193/issues?set_filter=1, time: 2013-02-15T11:34:23.873542, size: 46481 bytes, return code: 200, depth: 2
URL: https://bugs.ruby-lang.org/projects/ruby-193/issues?set_filter=1&sort=id&status_id=5, time: 2013-02-15T11:34:26.328766, size: 71693 bytes, return code: 200, depth: 2
URL: https://bugs.ruby-lang.org/projects/ruby-193/issues?set_filter=1&sort=tracker%2Cid%3Adesc&status_id=5, time: 2013-02-15T11:34:28.328987, size: 71897 bytes, return code: 200, depth: 2
URL: https://bugs.ruby-lang.org/projects/ruby-193/issues?set_filter=1&sort=status%2Cid%3Adesc&status_id=5, time: 2013-02-15T11:34:30.324466, size: 71924 bytes, return code: 200, depth: 2
URL: https://bugs.ruby-lang.org/projects/ruby-193/issues?set_filter=1&sort=priority%3Adesc%2Cid%3Adesc&status_id=5, time: 2013-02-15T11:34:32.338239, size: 72026 bytes, return code: 200, depth: 2
URL: https://bugs.ruby-lang.org/projects/ruby-193/issues?set_filter=1&sort=subject%2Cid%3Adesc&status_id=5, time: 2013-02-15T11:34:34.248388, size: 71614 bytes, return code: 200, depth: 2
URL: https://bugs.ruby-lang.org/projects/ruby-193/issues?set_filter=1&sort=assigned_to%2Cid%3Adesc&status_id=5, time: 2013-02-15T11:34:36.306093, size: 70027 bytes, return code: 200, depth: 2
URL: https://bugs.ruby-lang.org/projects/ruby-193/issues?set_filter=1&sort=updated_on%3Adesc%2Cid%3Adesc&status_id=5, time: 2013-02-15T11:34:38.201943, size: 72043 bytes, return code: 200, depth: 2
URL: https://bugs.ruby-lang.org/users/9, time: 2013-02-15T11:34:41.039457, size: 8635 bytes, return code: 200, depth: 2
URL: https://bugs.ruby-lang.org/users/4, time: 2013-02-15T11:34:51.038973, size: 9060 bytes, return code: 200, depth: 2
URL: http://www.redmine.org/, time: 2013-02-15T11:34:51.402465, size: 10526 bytes, return code: 200, depth: 2
URL: http://www.myfukuoka.com/news/2012-fukuoka-ruby-award-winners.html, time: 2013-02-15T11:34:55.291687, size: 38053 bytes, return code: 200, depth: 2
URL: http://www.myfukuoka.com/events/2012-fukuoka-ruby-forum.html, time: 2013-02-15T11:34:56.129800, size: 30321 bytes, return code: 200, depth: 2
URL: http://TryRuby.org/users/sign_in, time: 2013-02-15T11:34:56.942840, size: 7623 bytes, return code: 200, depth: 2
URL: http://faq.rubygarden.org/entry/show/57?controller_prefix=faq%2F, time: 2013-02-15T11:34:57.033393, size: 9201 bytes, return code: 200, depth: 2
