Listing all pages crawled in BFS order for query: C, for n: 500
URL: http://support.google.com/finance?hl=en&ei=h1weUeC1N7Gq0AHCfg, time: 2013-02-15T11:18:50.280668, size: 45918 bytes, return code: 200, depth: 1
URL: http://support.google.com/finance?ctx=report&hl=en&ei=h1weUeC1N7Gq0AHCfg&exch=NYSE&sym=C, time: 2013-02-15T11:18:50.495456, size: 48686 bytes, return code: 200, depth: 1
URL: https://twitter.com/, time: 2013-02-15T11:18:51.776683, size: 74276 bytes, return code: 200, depth: 1
URL: https://twitter.com/c?lang=id, time: 2013-02-15T11:18:56.197076, size: 237418 bytes, return code: 200, depth: 1
URL: https://twitter.com/c?lang=msa, time: 2013-02-15T11:18:57.722011, size: 237826 bytes, return code: 200, depth: 1
URL: https://twitter.com/c?lang=da, time: 2013-02-15T11:18:59.200372, size: 238026 bytes, return code: 200, depth: 1
URL: https://twitter.com/c?lang=de, time: 2013-02-15T11:19:00.537588, size: 238705 bytes, return code: 200, depth: 1
URL: https://twitter.com/c?lang=es, time: 2013-02-15T11:19:02.065809, size: 237950 bytes, return code: 200, depth: 1
URL: https://twitter.com/c?lang=eu, time: 2013-02-15T11:19:03.884914, size: 238230 bytes, return code: 200, depth: 1
URL: https://twitter.com/c?lang=fil, time: 2013-02-15T11:19:05.370044, size: 238566 bytes, return code: 200, depth: 1
URL: https://twitter.com/c?lang=it, time: 2013-02-15T11:19:06.815186, size: 238383 bytes, return code: 200, depth: 1
URL: https://twitter.com/c?lang=hu, time: 2013-02-15T11:19:08.294361, size: 239471 bytes, return code: 200, depth: 1
URL: https://twitter.com/c?lang=nl, time: 2013-02-15T11:19:09.758942, size: 239527 bytes, return code: 200, depth: 1
URL: https://twitter.com/c?lang=no, time: 2013-02-15T11:19:21.022877, size: 237167 bytes, return code: 200, depth: 1
URL: https://twitter.com/c?lang=pl, time: 2013-02-15T11:19:23.609578, size: 238342 bytes, return code: 200, depth: 1
URL: https://twitter.com/c?lang=pt, time: 2013-02-15T11:19:25.186105, size: 238666 bytes, return code: 200, depth: 1
URL: https://twitter.com/c?lang=fi, time: 2013-02-15T11:19:28.588405, size: 239634 bytes, return code: 200, depth: 1
URL: https://twitter.com/c?lang=sv, time: 2013-02-15T11:19:32.035023, size: 237269 bytes, return code: 200, depth: 1
URL: https://twitter.com/c?lang=tr, time: 2013-02-15T11:19:41.824723, size: 238821 bytes, return code: 200, depth: 1
URL: https://twitter.com/c?lang=ca, time: 2013-02-15T11:19:44.131654, size: 238926 bytes, return code: 200, depth: 1
URL: https://twitter.com/c?lang=fr, time: 2013-02-15T11:19:46.443702, size: 238646 bytes, return code: 200, depth: 1
URL: https://twitter.com/c?lang=cs, time: 2013-02-15T11:20:04.373902, size: 237932 bytes, return code: 200, depth: 1
URL: https://support.twitter.com, time: 2013-02-15T11:20:04.878761, size: 8429 bytes, return code: 200, depth: 1
URL: http://blog.twitter.com, time: 2013-02-15T11:20:11.872676, size: 110962 bytes, return code: 200, depth: 1
URL: http://status.twitter.com, time: 2013-02-15T11:20:29.151324, size: 22190 bytes, return code: 200, depth: 1
URL: https://business.twitter.com/en/advertise/start, time: 2013-02-15T11:20:30.057481, size: 23310 bytes, return code: 200, depth: 1
URL: https://business.twitter.com/index_en.html, time: 2013-02-15T11:20:32.540795, size: 6968 bytes, return code: 200, depth: 1
URL: http://media.twitter.com, time: 2013-02-15T11:20:33.891620, size: 19118 bytes, return code: 200, depth: 1
URL: https://dev.twitter.com, time: 2013-02-15T11:20:34.374768, size: 12670 bytes, return code: 200, depth: 1
URL: http://coley.tumblr.com, time: 2013-02-15T11:20:34.999804, size: 41482 bytes, return code: 200, depth: 1
URL: http://t.co/RYmbCHWb, time: 2013-02-15T11:20:35.616310, size: 154 bytes, return code: 200, depth: 1
URL: https://support.twitter.com/articles/20069937, time: 2013-02-15T11:20:36.323334, size: 16739 bytes, return code: 200, depth: 1
URL: http://support.twitter.com/forums/26810/entries/78525, time: 2013-02-15T11:20:48.403866, size: 16621 bytes, return code: 200, depth: 1
URL: https://dev.twitter.com/docs/embedded-tweets, time: 2013-02-15T11:20:51.219554, size: 36837 bytes, return code: 200, depth: 1
URL: http://support.twitter.com/articles/14226-how-to-find-your-twitter-short-code-or-long-code, time: 2013-02-15T11:20:51.970876, size: 14706 bytes, return code: 200, depth: 1
URL: http://www.cprogramming.com/c++book/?inl=sb, time: 2013-02-15T11:20:52.284564, size: 16789 bytes, return code: 200, depth: 1
URL: http://www.cprogramming.com/begin.html, time: 2013-02-15T11:20:52.607412, size: 29071 bytes, return code: 200, depth: 1
URL: http://www.cprogramming.com/compilers.html, time: 2013-02-15T11:20:52.883792, size: 22280 bytes, return code: 200, depth: 1
URL: http://www.cprogramming.com/books.html, time: 2013-02-15T11:20:53.196134, size: 33454 bytes, return code: 200, depth: 1
URL: http://www.cprogramming.com/tutorial/c-tutorial.html, time: 2013-02-15T11:20:53.486793, size: 20343 bytes, return code: 200, depth: 1
URL: http://www.cprogramming.com/tutorial/c++-tutorial.html, time: 2013-02-15T11:20:53.751753, size: 22355 bytes, return code: 200, depth: 1
URL: http://www.cprogramming.com/java-programming.html, time: 2013-02-15T11:20:54.007089, size: 18388 bytes, return code: 200, depth: 1
URL: http://www.cprogramming.com/game-programming.html, time: 2013-02-15T11:20:54.311237, size: 21462 bytes, return code: 200, depth: 1
URL: http://www.cprogramming.com/graphics-programming.html, time: 2013-02-15T11:20:54.555153, size: 20849 bytes, return code: 200, depth: 1
URL: http://www.cprogramming.com/algorithms-and-data-structures.html, time: 2013-02-15T11:20:54.859697, size: 24170 bytes, return code: 200, depth: 1
URL: http://www.cprogramming.com/debuggers.html, time: 2013-02-15T11:20:55.158504, size: 22039 bytes, return code: 200, depth: 1
URL: http://www.cprogramming.com/tutorial.html, time: 2013-02-15T11:20:55.521739, size: 53333 bytes, return code: 200, depth: 1
URL: http://www.cprogramming.com/challenge.html, time: 2013-02-15T11:20:55.885728, size: 21177 bytes, return code: 200, depth: 1
URL: http://www.cprogramming.com/quiz/, time: 2013-02-15T11:20:56.184971, size: 22270 bytes, return code: 200, depth: 1
URL: http://www.cprogramming.com/snippets/, time: 2013-02-15T11:20:56.499362, size: 25551 bytes, return code: 200, depth: 1
URL: http://www.cprogramming.com/tips/, time: 2013-02-15T11:20:56.814060, size: 24378 bytes, return code: 200, depth: 1
URL: http://www.cprogramming.com/jobs/, time: 2013-02-15T11:20:57.084690, size: 21328 bytes, return code: 200, depth: 1
URL: http://www.cprogramming.com/function.html, time: 2013-02-15T11:20:57.332620, size: 21425 bytes, return code: 200, depth: 1
URL: http://www.cprogramming.com/reference/, time: 2013-02-15T11:20:57.643608, size: 26250 bytes, return code: 200, depth: 1
URL: http://www.cprogramming.com/board.html, time: 2013-02-15T11:20:57.974408, size: 22721 bytes, return code: 200, depth: 1
URL: http://www.marketwatch.com/investing/currencies/tools, time: 2013-02-15T11:20:59.670486, size: 104998 bytes, return code: 200, depth: 1
URL: http://www.marketwatch.com/column/futures-movers, time: 2013-02-15T11:24:00.484367, size: 165216 bytes, return code: 200, depth: 1
URL: http://www.marketwatch.com/column/metals-stocks, time: 2013-02-15T11:24:01.107827, size: 180472 bytes, return code: 200, depth: 1
URL: http://www.marketwatch.com/?link=MW_Nav_FP, time: 2013-02-15T11:24:02.101092, size: 272477 bytes, return code: 200, depth: 1
URL: http://www.marketwatch.com/story/newsviewer?link=MW_Nav_NV, time: 2013-02-15T11:24:02.634462, size: 236168 bytes, return code: 200, depth: 1
URL: http://www.marketwatch.com/investing?link=MW_Nav_INV, time: 2013-02-15T11:24:05.036156, size: 122026 bytes, return code: 200, depth: 1
URL: http://www.marketwatch.com/trading-deck?link=MW_Nav_TD, time: 2013-02-15T11:24:05.358803, size: 136126 bytes, return code: 200, depth: 1
URL: http://www.marketwatch.com/personal-finance?link=MW_Nav_PF, time: 2013-02-15T11:24:05.686149, size: 129906 bytes, return code: 200, depth: 1
URL: http://www.marketwatch.com/retirement?link=MW_Nav_Retirement, time: 2013-02-15T11:24:06.046624, size: 129067 bytes, return code: 200, depth: 1
URL: http://www.marketwatch.com/economy-politics?link=MW_Nav_EP, time: 2013-02-15T11:24:06.445550, size: 104920 bytes, return code: 200, depth: 1
URL: http://www.marketwatch.com/industries?link=MW_Nav_IND, time: 2013-02-15T11:24:06.706936, size: 97891 bytes, return code: 200, depth: 1
URL: https://secure.marketwatch.com/user/account/logon, time: 2013-02-15T11:24:06.883855, size: 7254 bytes, return code: 200, depth: 1
URL: http://www.marketwatch.com/game?link=MW_Nav_GA, time: 2013-02-15T11:24:07.079799, size: 39934 bytes, return code: 200, depth: 1
URL: http://www.marketwatch.com/investing/stocks, time: 2013-02-15T11:24:07.604396, size: 94501 bytes, return code: 200, depth: 1
URL: http://www.marketwatch.com/investing/mutual-funds, time: 2013-02-15T11:24:09.462134, size: 97225 bytes, return code: 200, depth: 1
URL: http://www.marketwatch.com/investing/etf, time: 2013-02-15T11:24:09.867686, size: 97762 bytes, return code: 200, depth: 1
URL: http://www.marketwatch.com/optionscenter, time: 2013-02-15T11:24:12.358121, size: 95860 bytes, return code: 200, depth: 1
URL: http://www.marketwatch.com/investing/bonds, time: 2013-02-15T11:24:13.344656, size: 97445 bytes, return code: 200, depth: 1
URL: http://www.marketwatch.com/investing/commodities, time: 2013-02-15T11:24:13.944341, size: 96228 bytes, return code: 200, depth: 1
URL: http://www.marketwatch.com/investing/currencies, time: 2013-02-15T11:24:14.508040, size: 120058 bytes, return code: 200, depth: 1
URL: http://www.marketwatch.com/investing/futures, time: 2013-02-15T11:24:14.825859, size: 86321 bytes, return code: 200, depth: 1
URL: http://blogs.marketwatch.com/election/2013/02/13/live-blog-of-treasury-secretary-nominee-jack-lews-confirmation-hearing/, time: 2013-02-15T11:24:15.485416, size: 113472 bytes, return code: 200, depth: 1
URL: http://blogs.marketwatch.com/election/2013/02/12/treasury-nominee-lew-makes-hill-rounds-ahead-of-confirmation-hearing/, time: 2013-02-15T11:27:09.932131, size: 77271 bytes, return code: 200, depth: 1
URL: http://blogs.marketwatch.com/cody/2013/02/11/making-money-on-apple-google-and-the-illuminati-revolutions/, time: 2013-02-15T11:29:55.353103, size: 81362 bytes, return code: 200, depth: 1
URL: http://seekingalpha.com/article/1187441-tracking-bruce-berkowitz-s-fairholme-portfolio-q4-2012-update?source=marketwatch, time: 2013-02-15T11:32:42.435351, size: 54365 bytes, return code: 200, depth: 1
URL: http://www.zacks.com/stock/news/92808/citi-sheds-stake-in-aeromexico, time: 2013-02-15T11:32:54.533248, size: 69491 bytes, return code: 200, depth: 1
URL: http://www.zacks.com/stock/news/92804/foreclosure-activity-dawdling, time: 2013-02-15T11:32:58.400726, size: 69698 bytes, return code: 200, depth: 1
URL: http://realmoney.thestreet.com/articles/02/14/2013/great-deal-some?puc=rmmktwatch&cm_ven=RMMKTWATCH, time: 2013-02-15T11:33:01.080941, size: 25441 bytes, return code: 200, depth: 1
URL: http://seekingalpha.com/article/1185451-the-trend-is-your-friend-with-financial-stocks?source=marketwatch, time: 2013-02-15T11:33:01.158548, size: 53112 bytes, return code: 200, depth: 1
URL: http://www.zacks.com/stock/news/92770/citi-to-fire-50-investment-bankers, time: 2013-02-15T11:33:02.352763, size: 69358 bytes, return code: 200, depth: 1
URL: http://investorplace.com/investorpolitics/republicans-use-cayman-islands-investment-against-lew/, time: 2013-02-15T11:33:03.139434, size: 69302 bytes, return code: 200, depth: 1
URL: http://www.zacks.com/stock/news/92721/stock-market-news-for-february-14-2013, time: 2013-02-15T11:33:03.780791, size: 72513 bytes, return code: 200, depth: 1
URL: http://investorplace.com/247trader/10-hottest-stocks-for-options-traders-47/, time: 2013-02-15T11:33:04.591550, size: 63462 bytes, return code: 200, depth: 1
URL: http://www.benzinga.com/news/earnings/13/02/3331695/cliffs-natural-plunges-on-results-dividend-cut-share-offering, time: 2013-02-15T11:33:05.172656, size: 74033 bytes, return code: 200, depth: 1
URL: http://www.zacks.com/stock/news/92635/citi-plans-to-release-reserves, time: 2013-02-15T11:33:10.458232, size: 69694 bytes, return code: 200, depth: 1
URL: http://online.wsj.com, time: 2013-02-15T11:33:10.711545, size: 211111 bytes, return code: 200, depth: 1
URL: http://live.wsj.com, time: 2013-02-15T11:35:55.614262, size: 166147 bytes, return code: 200, depth: 1
URL: http://online.barrons.com/home, time: 2013-02-15T11:35:55.879729, size: 145728 bytes, return code: 200, depth: 1
URL: https://portfolio.wsj.com, time: 2013-02-15T11:35:58.667024, size: 88374 bytes, return code: 200, depth: 1
URL: http://allthingsd.com, time: 2013-02-15T11:35:59.374222, size: 79626 bytes, return code: 200, depth: 1
