Listing all pages crawled in BFS order for query: C, for n: 500
URL: https://twitter.com/c?lang=he, time: 2013-02-17T20:05:36.727249, size: 241821 bytes, return code: 200, depth: 1
URL: http://en.wikipedia.org/wiki/Programming_language_implementation, time: 2013-02-17T20:05:37.149744, size: 29034 bytes, return code: 200, depth: 1
URL: https://twitter.com/c?lang=ar, time: 2013-02-17T20:05:38.831019, size: 244708 bytes, return code: 200, depth: 1
URL: https://twitter.com/c?lang=fa, time: 2013-02-17T20:05:40.397294, size: 245283 bytes, return code: 200, depth: 1
URL: http://en.wikipedia.org/wiki/GNU_Compiler_Collection, time: 2013-02-17T20:05:40.734660, size: 145139 bytes, return code: 200, depth: 1
URL: http://en.wikipedia.org/wiki/Intel_C%2B%2B_Compiler, time: 2013-02-17T20:05:41.178707, size: 61276 bytes, return code: 200, depth: 1
URL: https://twitter.com/c?lang=th, time: 2013-02-17T20:05:42.300901, size: 251121 bytes, return code: 200, depth: 1
URL: http://en.wikipedia.org/wiki/Pelles_C, time: 2013-02-17T20:05:42.794527, size: 32855 bytes, return code: 200, depth: 1
URL: https://twitter.com/c?lang=zh-tw, time: 2013-02-17T20:05:44.672144, size: 237442 bytes, return code: 200, depth: 1
URL: https://twitter.com/c?lang=ja, time: 2013-02-17T20:05:44.887146, size: 243416 bytes, return code: 200, depth: 1
URL: http://en.wikipedia.org/wiki/Dialect_(computing), time: 2013-02-17T20:05:45.621505, size: 29247 bytes, return code: 200, depth: 1
URL: https://twitter.com/c?lang=ko, time: 2013-02-17T20:05:48.471915, size: 240195 bytes, return code: 200, depth: 1
URL: http://en.wikipedia.org/wiki/Unified_Parallel_C, time: 2013-02-17T20:05:48.589785, size: 31765 bytes, return code: 200, depth: 1
URL: http://en.wikipedia.org/wiki/C*, time: 2013-02-17T20:05:48.965794, size: 30345 bytes, return code: 200, depth: 1
URL: https://twitter.com/account/complete, time: 2013-02-17T20:05:49.586631, size: 67675 bytes, return code: 200, depth: 1
URL: http://en.wikipedia.org/wiki/B_(programming_language), time: 2013-02-17T20:05:50.072441, size: 47360 bytes, return code: 200, depth: 1
URL: https://twitter.com/c/favorites, time: 2013-02-17T20:05:52.090308, size: 68704 bytes, return code: 200, depth: 1
URL: http://en.wikipedia.org/wiki/ALGOL_68, time: 2013-02-17T20:05:53.540597, size: 173433 bytes, return code: 200, depth: 1
URL: http://en.wikipedia.org/wiki/AMPL, time: 2013-02-17T20:05:54.180932, size: 51028 bytes, return code: 200, depth: 1
URL: http://en.wikipedia.org/wiki/Objective-C, time: 2013-02-17T20:05:55.679824, size: 189500 bytes, return code: 200, depth: 1
URL: http://en.wikipedia.org/wiki/Limbo_(programming_language), time: 2013-02-17T20:05:56.255186, size: 44731 bytes, return code: 200, depth: 1
URL: http://markets.money.cnn.com/common/modules/iframe/myInvestments.asp?myStocksTab=last5, time: 2013-02-17T20:05:56.481125, size: 3805 bytes, return code: 200, depth: 1
URL: http://en.wikipedia.org/wiki/Seed7, time: 2013-02-17T20:05:56.719025, size: 43553 bytes, return code: 200, depth: 1
URL: http://groups.google.com/forum/?ei=IX4hUYCvGojf0gGjrwE&hl=en#!forum/google.finance.662713, time: 2013-02-17T20:05:57.177220, size: 489 bytes, return code: 200, depth: 1
URL: http://markets.money.cnn.com/secure/watchlist/myWatchlist.asp?myStocksTab=watchlist, time: 2013-02-17T20:05:57.562280, size: 2588 bytes, return code: 200, depth: 1
URL: http://www.marketwatch.com/brokercenter?reflink=djm_mwbrokercenter_quoteresultsnavlink, time: 2013-02-17T20:05:58.306328, size: 60019 bytes, return code: 200, depth: 1
URL: http://www.google.com/finance?catid=us-58211593&ei=IX4hUYCvGojf0gGjrwE, time: 2013-02-17T20:05:58.593030, size: 137933 bytes, return code: 200, depth: 1
URL: http://www.marketwatch.com/investing/stock/c/profile, time: 2013-02-17T20:05:58.940898, size: 134005 bytes, return code: 200, depth: 1
URL: http://www.marketwatch.com/investing/stock/c/charts, time: 2013-02-17T20:05:59.371043, size: 100228 bytes, return code: 200, depth: 1
URL: http://www.marketwatch.com/investing/stock/c/options, time: 2013-02-17T20:06:00.605860, size: 137463 bytes, return code: 200, depth: 1
URL: http://www.marketwatch.com/investing/stock/c/hulbert, time: 2013-02-17T20:06:00.696502, size: 105799 bytes, return code: 200, depth: 1
URL: http://www.marketwatch.com/story/financial-stocks-steady-as-investors-lock-in-gains-2013-02-15, time: 2013-02-17T20:06:01.829844, size: 203727 bytes, return code: 200, depth: 1
URL: http://www.marketwatch.com/story/financial-stocks-up-heinz-deal-boosts-sector-2013-02-14, time: 2013-02-17T20:06:02.902314, size: 174999 bytes, return code: 200, depth: 1
URL: http://us.lrd.yahoo.com/_ylt=A0wNcuYhfiFRKrkA6AEnv7gF/SIG=11jjs2v3e/EXP=1362359073/**http%3A//overview.mail.yahoo.com/, time: 2013-02-17T20:06:03.219379, size: 16036 bytes, return code: 200, depth: 1
URL: http://www.cprogramming.com/appup7.html, time: 2013-02-17T20:06:04.088237, size: 31671 bytes, return code: 200, depth: 1
URL: http://help.yahoo.com/l/us/yahoo/comments/notifications;_ylt=A0wNcuYhfiFRKrkA8AEnv7gF, time: 2013-02-17T20:06:04.310850, size: 34819 bytes, return code: 200, depth: 1
URL: http://www.cprogramming.com/android/android_getting_started.html, time: 2013-02-17T20:06:04.310997, size: 42356 bytes, return code: 200, depth: 1
URL: http://www.cprogramming.com/appup6.html, time: 2013-02-17T20:06:04.763620, size: 30774 bytes, return code: 200, depth: 1
URL: http://www.cprogramming.com/use.html, time: 2013-02-17T20:06:05.577644, size: 20394 bytes, return code: 200, depth: 1
URL: http://www.google.com.hk/finance?ei=IX4hUYCvGojf0gGjrwE, time: 2013-02-17T20:06:05.744018, size: 122582 bytes, return code: 200, depth: 1
URL: http://www.simplyhired.com/?aff_id=13225, time: 2013-02-17T20:06:06.544240, size: 15529 bytes, return code: 200, depth: 1
URL: http://en.wikipedia.org/wiki/Wikibooks, time: 2013-02-17T20:06:06.597586, size: 53462 bytes, return code: 200, depth: 1
URL: http://en.wikibooks.org/wiki/C_Programming, time: 2013-02-17T20:06:06.684279, size: 55791 bytes, return code: 200, depth: 1
URL: http://en.wikipedia.org/wiki/Computing, time: 2013-02-17T20:06:07.526223, size: 112073 bytes, return code: 200, depth: 1
URL: http://en.wikipedia.org/wiki/Help:IPA_for_English#Key, time: 2013-02-17T20:06:08.406820, size: 124094 bytes, return code: 200, depth: 1
URL: http://en.wikipedia.org/wiki/C, time: 2013-02-17T20:06:08.700672, size: 91027 bytes, return code: 200, depth: 1
URL: http://en.wikipedia.org/wiki/Programming_language, time: 2013-02-17T20:06:09.120246, size: 188735 bytes, return code: 200, depth: 1
URL: http://www.marketwatch.com/story/losses-mounting-in-bank-bailouts-2013-02-12, time: 2013-02-17T20:06:10.607721, size: 166149 bytes, return code: 200, depth: 1
URL: http://blogs.marketwatch.com/election/2013/02/13/live-blog-of-treasury-secretary-nominee-jack-lews-confirmation-hearing/, time: 2013-02-17T20:06:10.835158, size: 112784 bytes, return code: 200, depth: 1
URL: http://www.marketwatch.com/story/coventry-gets-kentucky-medicaid-rate-increase-2013-02-12-114852817, time: 2013-02-17T20:06:14.257393, size: 135491 bytes, return code: 200, depth: 1
URL: http://blogs.marketwatch.com/cody/2013/02/11/making-money-on-apple-google-and-the-illuminati-revolutions/, time: 2013-02-17T20:06:15.992945, size: 80876 bytes, return code: 200, depth: 1
URL: http://www.marketwatch.com/story/financial-stocks-rise-ahead-of-barclays-results-2013-02-11, time: 2013-02-17T20:06:16.840728, size: 228619 bytes, return code: 200, depth: 1
URL: http://www.marketwatch.com/story/rain-man-says-libor-scandal-goes-much-higher-2013-02-09, time: 2013-02-17T20:06:19.008876, size: 144561 bytes, return code: 200, depth: 1
URL: https://support.twitter.com, time: 2013-02-17T20:06:22.267053, size: 8429 bytes, return code: 200, depth: 1
URL: https://twitter.com/tos, time: 2013-02-17T20:06:22.786139, size: 32577 bytes, return code: 200, depth: 1
URL: http://www.google.ca/finance?ei=IX4hUYCvGojf0gGjrwE, time: 2013-02-17T20:06:24.789997, size: 104594 bytes, return code: 200, depth: 1
URL: http://www.google.com.hk/finance?hl=zh-CN&ei=IX4hUYCvGojf0gGjrwE, time: 2013-02-17T20:06:26.070875, size: 122480 bytes, return code: 200, depth: 1
URL: http://seekingalpha.com/article/1192241-tracking-george-soros-s-portfolio-q4-2012-update?source=marketwatch, time: 2013-02-17T20:06:26.814292, size: 64494 bytes, return code: 200, depth: 1
URL: http://money.cnn.com/services/bridge/contact.us.html, time: 2013-02-17T20:06:27.408064, size: 24959 bytes, return code: 200, depth: 1
URL: http://www.cminusminus.org/code.html, time: 2013-02-17T20:06:28.338932, size: 14075 bytes, return code: 200, depth: 1
URL: http://blog.twitter.com, time: 2013-02-17T20:06:28.339073, size: 110962 bytes, return code: 200, depth: 1
URL: http://www.cminusminus.org/news/2001.10.html, time: 2013-02-17T20:06:29.829613, size: 5923 bytes, return code: 200, depth: 1
